Hog_Price,Year
64.5425,2018
70.25166667,2017
65.95083333,2016
69.31833333,2015
105.535,2014
89.46916667,2013
85.23583333,2012
90.935,2011
76.41416667,2010
57.97,2009
65.8825,2008
65.3125,2007
64.23083333,2006
68.38416667,2005
71.40416667,2004
55.57833333,2003
47.95583333,2002
61.48583333,2001
61.30833333,2000
48.25,1999
47.18166667,1998
72.74,1997
57.1025,1996
43.92583333,1995
43.26333333,1994
47.7575,1993
43.315,1992
49.48666667,1991
54.77916667,1990
45.57416667,1989
44.62,1988
49.32333333,1987
50.19416667,1986
45.86666667,1985
50.39916667,1984
