DATE,PoultryC/lb,Year
1/1/80,34.3428422,1980
1/1/81,35.10669005,1981
1/1/82,34.46408789,1982
1/1/83,35.01575579,1983
1/1/84,39.63521664,1984
1/1/85,38.01052437,1985
1/1/86,41.98132078,1986
1/1/87,41.20231721,1987
1/1/88,45.49138355,1988
1/1/89,49.87441531,1989
1/1/90,49.08328717,1990
1/1/91,47.90417282,1991
1/1/92,47.96479567,1992
1/1/93,54.67626576,1993
1/1/94,55.28416737,1994
1/1/95,55.48235166,1995
1/1/96,62.31248882,1996
1/1/97,60.98858607,1997
1/1/98,63.15407509,1998
1/1/99,59.96489413,1999
1/1/00,59.44989107,2000
1/1/01,63.62734661,2001
1/1/02,63.082232,2002
1/1/03,66.21027847,2003
1/1/04,75.72789017,2004
1/1/05,73.90186203,2005
1/1/06,69.22604826,2006
1/1/07,78.18250645,2007
1/1/08,84.61576923,2008
1/1/09,85.62873689,2009
1/1/10,85.8470911,2010
1/1/11,87.37695464,2011
1/1/12,94.30301122,2012
1/1/13,103.8375878,2013
1/1/14,110.1325487,2014
1/1/15,114.6694833,2015
1/1/16,111.4779793,2016
1/1/17,87.9969198,2017
1/1/18,93.8936206,2018
